Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
| 1 |   |   |   | 5 |   |   | 8 | 9 |,0.026406,16.8045,N/A,N/A,N/A,N/A,5,1 5,N/A,8,9,1 9,N/A,N/A
|   |   |   |   | 5 |   |   |   | 9 |,0.0246914,12.2716,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,9,N/A,N/A,N/A
| 1 |   |   |   | 5 |   | 7 |   |   |,0.087963,8.26543,N/A,N/A,N/A,N/A,5,1 5,7,1 7,N/A,N/A,N/A,5 7
|   |   |   |   | 5 |   | 7 |   |   |,0.0648148,9.72222,N/A,N/A,N/A,N/A,5,N/A,7,N/A,N/A,N/A,N/A,5 7
| 1 |   |   |   | 5 |   | 7 |   | 9 |,0.0426955,13.6432,N/A,N/A,N/A,N/A,5,1 5,7,1 7,9,1 9,N/A,5 7
| 1 |   |   |   | 5 |   | 7 | 8 |   |,0.0480967,13.5203,N/A,N/A,N/A,N/A,5,1 5,7,8,1 8,N/A,N/A,5 7
|   |   |   |   | 5 |   | 7 | 8 |   |,0.0231481,15.8832,N/A,N/A,N/A,N/A,5,N/A,7,8,N/A,N/A,N/A,5 7
| 1 |   |   |   | 5 |   | 7 | 8 | 9 |,0.0238483,19.4303,N/A,N/A,N/A,N/A,5,1 5,7,8,9,1 9,N/A,5 7
|   |   |   |   | 5 |   |   | 8 | 9 |,0.0102881,18.6221,N/A,N/A,N/A,N/A,5,N/A,N/A,8,9,N/A,N/A,N/A
| 1 |   |   |   | 5 | 6 |   |   |   |,0.0985082,7.97788,N/A,N/A,N/A,N/A,5,6,1 6,N/A,N/A,N/A,5 6,1 5 6
|   |   |   |   | 5 | 6 |   |   |   |,0.0864198,8.83025,N/A,N/A,N/A,N/A,5,6,N/A,N/A,N/A,N/A,5 6,N/A
| 1 |   |   |   | 5 | 6 |   |   | 9 |,0.0456962,13.591,N/A,N/A,N/A,N/A,5,6,1 6,N/A,9,1 9,5 6,1 5 6
| 1 |   |   |   | 5 | 6 |   | 8 |   |,0.0585348,12.0005,N/A,N/A,N/A,N/A,5,6,1 6,8,1 8,N/A,5 6,1 5 6
|   |   |   |   | 5 | 6 |   | 8 |   |,0.0282922,15.0204,N/A,N/A,N/A,N/A,5,6,N/A,8,N/A,N/A,5 6,N/A
| 1 |   |   |   | 5 | 6 |   | 8 | 9 |,0.0273015,17.8206,N/A,N/A,N/A,N/A,5,6,1 6,8,9,1 9,5 6,1 5 6
|   |   |   |   | 5 | 6 |   |   | 9 |,0.0226337,16.2339,N/A,N/A,N/A,N/A,5,6,N/A,N/A,9,N/A,5 6,N/A
