Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 4,0.125,4.09722,No,N/A,N/A,N/A,4,1 4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 2 3 4 7,0.111658,7.26131,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 3 7,2 3 7
3 4 5 8,0.0435171,12.8174,No,N/A,N/A,3,4,5,N/A,3 4,3 5,4 5,N/A,3 8,3 4 5
1 3 4 5 7 8,0.0345486,15.1533,No,N/A,N/A,3,1 3,1 4,1 5,3 4,1 3 4,1 3 5,1 4 5,1 3 7,3 4 5
1 2 6 7 8,0.0409653,14.9256,No,N/A,2,1 2,N/A,N/A,6,1 6,2 6,1 2 6,1 2 7,1 2 8,N/A
1 2 6 8,0.0900777,9.43804,No,N/A,2,1 2,N/A,N/A,6,1 6,2 6,1 2 6,2 8,1 2 8,N/A
2 3 6 7 8,0.0424827,14.1751,No,N/A,2,3,N/A,2 3,6,7,2 6,3 6,3 7,2 3 6,2 3 7
1 2 8,0.0923354,7.04964,No,N/A,2,1 2,N/A,N/A,N/A,N/A,8,1 8,2 8,1 2 8,N/A
1 2 3 5 7 8,0.0475107,13.2839,No,N/A,2,1 2,1 3,2 3,1 2 3,2 5,1 2 5,1 3 5,2 3 5,1 2 3 5,2 3 7
1 2 3 4 5 7 8,0.0343348,15.1214,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 3 5,1 2 4 5
1 2 3 4 5 7,0.0755262,9.70176,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 3 5,1 2 4 5
1 2 3 7 8,0.0679298,9.83995,No,N/A,2,1 2,1 3,2 3,1 2 3,7,1 7,2 7,1 2 7,1 3 7,2 3 7
1 2 4 6 7,0.0852695,9.00001,No,N/A,2,1 2,4,1 4,2 4,1 2 4,2 6,1 2 6,4 6,1 4 6,2 4 6
2 3 4 5 6 8,0.0349207,14.4472,No,N/A,2,3,4,2 3,2 4,3 4,3 5,2 3 4,2 3 5,2 4 5,3 4 5
2 3 8,0.0444959,9.24906,No,N/A,2,3,N/A,2 3,N/A,N/A,8,N/A,2 8,3 8,N/A
1 6,0.189815,4.97685,No,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,N/A,N/A
2 4 5 7,0.0637431,11.1048,No,N/A,2,N/A,4,5,2 4,2 5,N/A,4 5,N/A,2 4 5,5 7
1 2 5 6 8,0.0576463,11.6377,No,N/A,2,1 2,N/A,5,1 5,2 5,1 2 5,1 2 6,2 8,5 6,1 5 6
3 5,0.151235,6.11728,No,N/A,N/A,3,N/A,5,N/A,N/A,3 5,N/A,N/A,N/A,N/A
1 2 4 7 8,0.058124,11.0355,No,N/A,2,1 2,4,1 4,2 4,1 2 4,1 7,2 7,1 2 7,4 7,1 4 7
2 3,0.114198,4.21451,No,N/A,2,3,N/A,2 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 2 7 8,0.0680298,11.4648,No,N/A,2,1 2,N/A,N/A,N/A,7,1 7,2 7,1 2 7,1 2 8,N/A
