Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 8 9 10 11,0.00304355,33.2895,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,1 11
1 8 9 10 11 12,0.000363178,45.1484,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12
9 11,0.0123457,18.2654,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,N/A
9 11 12,0.00102881,29.8208,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,12
9 10 12,0.00154321,28.5257,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,12
9 10 11,0.00308642,27.1281,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,N/A
9 10 11 12,0.000342936,38.6045,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,12
1 7,0.166667,5.69444,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,N/A
1 7 12,0.00925926,17.2222,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,12
7,0.166667,5.83333,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A
1 7 11,0.0277778,15.3735,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,11,1 11
1 7 11 12,0.00192901,27.2217,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,11,12
7 12,0.00925926,17.412,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,12
1 7 10,0.0462963,13.662,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,1 10,N/A
1 7 10 12,0.00385802,25.0243,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,1 10,12
7 10,0.0277778,14.7639,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,N/A
1 7 10 11,0.00848765,23.7981,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,11,1 11
1 7 10 11 12,0.000814472,35.5987,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,11,12
7 11,0.0185185,16.0556,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,N/A
7 11 12,0.00154321,27.5833,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,12
1 7 9,0.0648148,12.088,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,1 9,N/A,N/A
1 7 9 12,0.00540123,23.4034,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,1 9,N/A,12
7 9,0.037037,13.537,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,N/A,N/A
1 7 9 11,0.0138889,21.2864,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,1 9,11,1 11
1 7 9 11 12,0.00137174,32.9929,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,1 9,11,12
7 9 12,0.00308642,25.0221,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,N/A,12
1 7 9 10,0.0189043,20.5012,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,10,1 10,N/A
1 7 9 10 12,0.00210048,31.6804,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,10,1 10,12
7 9 10,0.00925926,22.2114,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,N/A,N/A
1 7 9 10 11,0.0045439,30.3646,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,10,11,1 11
1 7 9 10 11 12,0.000559652,42.0786,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,10,11,12
7 10 12,0.00231481,26.2693,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,12
7 10 11,0.00462963,24.8457,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,11,N/A
7 10 11 12,0.000514403,36.2865,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,11,12
