Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
,1.0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,0.166667,0.833333,Yes,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 8,0.134259,6.86574,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,N/A
1 7,0.166667,5.69444,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,N/A
7,0.166667,5.83333,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A
1 7 8,0.0640432,11.9167,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,N/A,N/A,N/A
8,0.138889,6.88889,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
1 6,0.189815,4.97685,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,N/A,N/A
6,0.138889,5.16667,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A
1 6 8,0.0835905,10.0337,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,N/A,N/A
1 6 7,0.0740741,10.1157,Yes,N/A,N/A,N/A,N/A,N/A,6,7,1 7,N/A,N/A,N/A,N/A
6 7,0.0462963,10.6991,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,N/A,N/A,N/A
1 6 7 8,0.0382587,15.6989,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,1 8,N/A,N/A,N/A
7 8,0.0462963,12.375,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A
1 5,0.157407,4.59259,Yes,N/A,N/A,N/A,N/A,5,1 5,N/A,N/A,N/A,N/A,N/A,N/A
5,0.111111,4.44444,Yes,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 5 8,0.0684156,9.85134,Yes,N/A,N/A,N/A,N/A,5,1 5,N/A,8,1 8,N/A,N/A,N/A
