Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1 2 6 7 9,0.0825418,11.514,No,N/A,2,1 2,N/A,N/A,6,1 6,2 6,1 2 6,1 2 7,2 9,1 2 9,6 7,1 6 7,2 6 7,1 2 6 7,2 6 9,1 2 6 9
1 2 3 7 9 10 13,0.0162482,25.5426,No,N/A,2,1 2,1 3,2 3,1 2 3,7,1 7,2 7,1 2 7,1 3 7,2 3 7,1 2 3 7,2 3 9,1 2 3 9,7 9,1 7 9,2 7 9
2 6 7 9 10 13,0.00849275,30.8882,No,N/A,2,N/A,N/A,N/A,6,7,2 6,2 7,10,2 9,2 10,6 7,N/A,2 6 7,7 9,2 6 9,2 7 9
1 3 5 6 7 8 9 11 12 13,0.00288561,44.1677,No,N/A,N/A,3,1 3,5,1 5,1 6,3 5,1 3 5,1 3 6,5 6,1 5 6,1 5 7,3 5 6,1 3 5 6,1 3 5 7,1 3 6 7,5 6 7
2 3 4 5 6 7 9 11 12 13,0.00274391,43.9325,No,N/A,2,3,4,2 3,2 4,3 4,3 5,2 3 4,2 3 5,2 4 5,3 4 5,3 4 6,2 3 4 5,2 3 4 6,2 3 5 6,2 4 5 6,3 4 5 6
1 2 3 4 7 8 9 10 11 13,0.00416028,39.5525,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 3 7,2 3 7,1 2 3 7,1 2 4 7,1 3 4 7,2 3 4 7,1 2 3 4 7,1 2 3 4 8
1 3 6 7 9 11,0.036761,19.2103,No,N/A,N/A,3,1 3,N/A,6,1 6,1 7,3 6,1 3 6,1 3 7,3 9,6 7,1 6 7,6 9,3 6 7,1 3 6 7,3 6 9
2 3 4 7 10 11,0.0299011,20.9885,No,N/A,2,3,4,2 3,2 4,3 4,N/A,2 3 4,3 7,4 7,2 3 7,2 4 7,3 4 7,2 3 10,2 3 4 7,3 4 10,3 4 11
1 2 3 5 7 9 11 13,0.0122327,29.1843,No,N/A,2,1 2,1 3,2 3,1 2 3,2 5,1 2 5,1 3 5,2 3 5,1 2 3 5,2 3 7,1 2 3 7,2 5 7,1 2 5 7,1 3 5 7,2 3 5 7,1 2 3 5 7
1 3 7 9 10 11 12,0.00737153,33.6673,No,N/A,N/A,3,1 3,N/A,N/A,7,1 7,9,3 7,1 3 7,3 9,1 3 9,1 3 10,1 3 11,7 9,1 7 9,1 7 10
1 4 5 6 9 11 13,0.00900169,31.7047,No,N/A,N/A,N/A,4,1 4,1 5,1 6,N/A,4 5,1 4 5,1 4 6,1 5 6,4 9,1 4 9,4 5 6,1 4 5 6,1 5 11,4 5 9
1 6 7 13,0.0183173,22.4441,No,N/A,N/A,N/A,N/A,N/A,6,1 6,1 7,N/A,N/A,N/A,N/A,6 7,1 6 7,N/A,N/A,N/A,N/A
