Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 4 5 8,0.069573,10.3611,Yes,N/A,N/A,N/A,4,5,1 5,N/A,8,4 5,1 4 5,N/A,4 8
1 4 5 7,0.116255,6.86111,Yes,N/A,N/A,N/A,4,5,1 5,7,1 7,4 5,1 4 5,4 7,5 7
4 5 8,0.0447531,12.4167,Yes,N/A,N/A,N/A,4,5,N/A,N/A,8,4 5,N/A,N/A,4 8
4 5 7,0.0632716,10.6111,Yes,N/A,N/A,N/A,4,5,N/A,7,N/A,4 5,N/A,4 7,5 7
1 4 5 7 8,0.0601852,11.7778,Yes,N/A,N/A,N/A,4,5,1 5,7,8,4 5,1 4 5,4 7,4 8
4 6 7 8,0.0282922,16.5,Yes,N/A,N/A,N/A,4,N/A,6,7,8,N/A,4 6,4 7,4 8
1 4 5 6,0.107446,7.47222,Yes,N/A,N/A,N/A,4,5,6,1 6,N/A,4 5,4 6,5 6,1 5 6
4 5 6,0.066358,9.58333,Yes,N/A,N/A,N/A,4,5,6,N/A,N/A,4 5,4 6,5 6,N/A
1 4 5 6 8,0.0669867,10.5556,Yes,N/A,N/A,N/A,4,5,6,1 6,8,4 5,4 6,5 6,4 8
4 5 7 8,0.0308642,15.6667,Yes,N/A,N/A,N/A,4,5,N/A,7,8,4 5,N/A,4 7,4 8
1 4 5 6 7,0.0834977,9.08333,Yes,N/A,N/A,N/A,4,5,6,7,1 7,4 5,4 6,5 6,5 7
4 5 6 8,0.0343793,14.0556,Yes,N/A,N/A,N/A,4,5,6,N/A,8,4 5,4 6,5 6,4 8
4 5 6 7,0.0477109,12.5833,Yes,N/A,N/A,N/A,4,5,6,7,N/A,4 5,4 6,4 7,5 7
1 4 5 6 7 8,0.0556784,12.7778,Yes,N/A,N/A,N/A,4,5,6,7,8,1 8,4 6,4 7,5 7
1 3,0.0925926,3.44444,Yes,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,0.0555556,2.83333,Yes,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 3 8,0.0751029,7.80556,Yes,N/A,N/A,3,1 3,N/A,N/A,N/A,8,1 8,N/A,3 8,1 3 8
1 3 7,0.115741,6.05556,Yes,N/A,N/A,3,1 3,N/A,N/A,7,1 7,N/A,3 7,1 3 7,N/A
3 8,0.0709877,8.86111,Yes,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,N/A,3 8,N/A
3 7,0.101852,7.55556,Yes,N/A,N/A,3,N/A,N/A,N/A,7,N/A,N/A,3 7,N/A,N/A
1 3 7 8,0.0724023,10.5833,Yes,N/A,N/A,3,1 3,N/A,N/A,7,8,1 8,3 7,3 8,1 3 8
1 3 6,0.146091,5,Yes,N/A,N/A,3,1 3,N/A,6,1 6,N/A,3 6,1 3 6,N/A,N/A
3 6,0.126543,6.80556,Yes,N/A,N/A,3,N/A,N/A,6,N/A,N/A,3 6,N/A,N/A,N/A
1 3 6 8,0.0913066,8.30556,Yes,N/A,N/A,3,1 3,N/A,6,1 6,8,3 6,1 3 6,3 8,1 3 8
3 7 8,0.0493827,12.75,Yes,N/A,N/A,3,N/A,N/A,N/A,7,8,N/A,3 7,3 8,N/A
1 3 6 7,0.108025,7.66667,Yes,N/A,N/A,3,1 3,N/A,6,7,1 7,3 6,3 7,1 3 7,N/A
3 6 8,0.0527263,12,Yes,N/A,N/A,3,N/A,N/A,6,N/A,8,3 6,N/A,3 8,N/A
3 6 7,0.0679012,10.6111,Yes,N/A,N/A,3,N/A,N/A,6,7,N/A,3 6,3 7,N/A,N/A
1 3 6 7 8,0.0639218,11.9722,Yes,N/A,N/A,3,1 3,N/A,6,7,8,1 8,3 7,3 8,1 3 8
1 3 5,0.170267,4.41667,Yes,N/A,N/A,3,1 3,5,1 5,N/A,3 5,1 3 5,N/A,N/A,N/A
3 5,0.151235,6,Yes,N/A,N/A,3,N/A,5,N/A,N/A,3 5,N/A,N/A,N/A,N/A
1 3 5 8,0.0768604,9.5,Yes,N/A,N/A,3,1 3,5,1 5,N/A,8,1 8,N/A,3 8,1 3 8
1 3 5 7,0.129201,5.77778,Yes,N/A,N/A,3,1 3,5,1 5,7,3 5,1 3 5,3 7,1 3 7,5 7
3 5 8,0.0367798,12.7222,Yes,N/A,N/A,3,N/A,5,N/A,N/A,8,N/A,N/A,3 8,N/A
3 5 7,0.0740741,9.61111,Yes,N/A,N/A,3,N/A,5,N/A,7,3 5,N/A,3 7,N/A,5 7
1 3 5 7 8,0.0711639,9.88889,Yes,N/A,N/A,3,1 3,5,1 5,7,8,1 8,3 7,3 8,5 7
3 6 7 8,0.0370799,14.75,Yes,N/A,N/A,3,N/A,N/A,6,7,8,3 6,3 7,3 8,N/A
1 3 5 6,0.13756,5.02778,Yes,N/A,N/A,3,1 3,5,6,1 6,3 5,3 6,1 3 6,5 6,1 5 6
3 5 6,0.0745885,8.63889,Yes,N/A,N/A,3,N/A,5,6,N/A,3 5,3 6,N/A,5 6,N/A
1 3 5 6 8,0.0703982,9.58333,Yes,N/A,N/A,3,1 3,5,6,1 6,8,1 8,1 3 6,3 8,1 3 8
3 5 7 8,0.0313357,15.2778,Yes,N/A,N/A,3,N/A,5,N/A,7,8,N/A,3 7,3 8,5 7
1 3 5 6 7,0.0986988,7.52778,Yes,N/A,N/A,3,1 3,5,6,7,1 7,3 6,3 7,5 6,5 7
3 5 6 8,0.0311285,15,Yes,N/A,N/A,3,N/A,5,6,N/A,8,3 6,N/A,3 8,N/A
3 5 6 7,0.0625857,10.3611,Yes,N/A,N/A,3,N/A,5,6,7,3 5,3 6,3 7,5 6,5 7
1 3 5 6 7 8,0.0646657,10.9167,Yes,N/A,N/A,3,1 3,5,6,7,8,1 8,3 7,5 6,5 7
4 5 6 7 8,0.0286566,16.0278,Yes,N/A,N/A,N/A,4,5,6,7,8,4 5,4 6,5 6,4 8
1 3 4,0.1875,4.25,Yes,N/A,N/A,3,4,1 4,N/A,3 4,1 3 4,N/A,N/A,N/A,N/A
3 4,0.175926,5.19444,Yes,N/A,N/A,3,4,N/A,N/A,3 4,N/A,N/A,N/A,N/A,N/A
1 3 4 8,0.0948431,8.33333,Yes,N/A,N/A,3,4,1 4,N/A,3 4,8,1 8,N/A,3 8,4 8
1 3 4 7,0.0994084,7.75,Yes,N/A,N/A,3,4,1 4,N/A,7,1 7,N/A,3 7,4 7,1 4 7
3 4 8,0.0625,10.1667,Yes,N/A,N/A,3,4,N/A,N/A,3 4,8,N/A,N/A,3 8,4 8
3 4 7,0.0524691,10,Yes,N/A,N/A,3,4,N/A,N/A,7,N/A,N/A,3 7,4 7,N/A
1 3 4 7 8,0.0637503,11.3056,Yes,N/A,N/A,3,4,1 4,N/A,7,8,1 8,3 7,3 8,4 8
1 3 4 6,0.135224,4.77778,Yes,N/A,N/A,3,4,1 4,6,3 4,1 3 4,3 6,4 6,1 4 6,N/A
3 4 6,0.0779321,7.61111,Yes,N/A,N/A,3,4,N/A,6,3 4,N/A,3 6,4 6,N/A,N/A
1 3 4 6 8,0.0902206,7.97222,Yes,N/A,N/A,3,4,1 4,6,3 4,8,1 8,4 6,3 8,4 8
3 4 7 8,0.0355367,14.7778,Yes,N/A,N/A,3,4,N/A,N/A,7,8,N/A,3 7,3 8,4 8
1 3 4 6 7,0.102688,6.91667,Yes,N/A,N/A,3,4,1 4,6,7,1 7,3 6,3 7,4 7,1 4 7
3 4 6 8,0.0535837,11.0556,Yes,N/A,N/A,3,4,N/A,6,3 4,8,3 6,4 6,3 8,4 8
3 4 6 7,0.0541409,11.9167,Yes,N/A,N/A,3,4,N/A,6,7,N/A,3 6,3 7,4 7,N/A
1 3 4 6 7 8,0.0718871,10.1111,Yes,N/A,N/A,3,4,1 4,6,7,8,3 6,3 7,4 7,4 8
3 5 6 7 8,0.0325741,15.5833,Yes,N/A,N/A,3,N/A,5,6,7,8,3 6,3 7,5 6,5 7
1 3 4 5,0.130401,4.55556,Yes,N/A,N/A,3,4,5,1 5,3 4,3 5,4 5,1 4 5,N/A,3 4 5
3 4 5,0.103395,6.36111,Yes,N/A,N/A,3,4,5,N/A,3 4,3 5,4 5,N/A,N/A,3 4 5
1 3 4 5 8,0.0889382,7.94444,Yes,N/A,N/A,3,4,5,1 5,3 4,8,1 8,1 4 5,3 8,4 8
1 3 4 5 7,0.110882,6.38889,Yes,N/A,N/A,3,4,5,1 5,7,1 7,4 5,3 7,4 7,5 7
3 4 5 8,0.0512903,11.6667,Yes,N/A,N/A,3,4,5,N/A,3 4,8,4 5,N/A,3 8,4 8
3 4 5 7,0.0797325,9.44444,Yes,N/A,N/A,3,4,5,N/A,7,3 5,4 5,3 7,4 7,5 7
1 3 4 5 7 8,0.0762208,9.61111,Yes,N/A,N/A,3,4,5,1 5,7,8,1 8,3 7,3 8,4 8
3 4 6 7 8,0.039122,14.6944,Yes,N/A,N/A,3,4,N/A,6,7,8,3 6,4 6,3 8,4 8
1 3 4 5 6,0.132237,5.13889,Yes,N/A,N/A,3,4,5,6,1 6,3 5,4 5,4 6,5 6,3 4 5
3 4 5 6,0.102752,7.16667,Yes,N/A,N/A,3,4,5,6,3 4,3 5,3 6,4 6,5 6,3 4 5
1 3 4 5 6 8,0.0876994,8.38889,Yes,N/A,N/A,3,4,5,6,3 4,8,1 8,4 6,3 8,4 8
3 4 5 7 8,0.0426859,14.3611,Yes,N/A,N/A,3,4,5,N/A,7,8,4 5,3 7,3 8,4 8
1 3 4 5 6 7,0.111067,6.58333,Yes,N/A,N/A,3,4,5,6,7,1 7,3 6,4 6,4 7,5 7
3 4 5 6 8,0.0512498,11.8611,Yes,N/A,N/A,3,4,5,6,3 4,8,4 5,4 6,3 8,4 8
3 4 5 6 7,0.0697159,9.86111,Yes,N/A,N/A,3,4,5,6,7,3 5,4 5,4 6,4 7,5 7
1 3 4 5 6 7 8,0.0781552,9.41667,Yes,N/A,N/A,3,4,5,6,7,8,1 8,4 6,3 8,4 8
1 2,0.0601852,2.75,Yes,N/A,2,1 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,0.0277778,1.94444,Yes,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 2 8,0.0923354,6.69444,Yes,N/A,2,1 2,N/A,N/A,N/A,N/A,8,1 8,2 8,1 2 8,N/A
1 2 7,0.12963,5.05556,Yes,N/A,2,1 2,N/A,N/A,N/A,7,1 7,2 7,1 2 7,N/A,N/A
2 8,0.0910494,7.80556,Yes,N/A,2,N/A,N/A,N/A,N/A,N/A,8,N/A,2 8,N/A,N/A
2 7,0.12037,6.55556,Yes,N/A,2,N/A,N/A,N/A,N/A,7,N/A,2 7,N/A,N/A,N/A
1 2 7 8,0.0758102,10.5278,Yes,N/A,2,1 2,N/A,N/A,N/A,7,8,2 7,2 8,1 2 8,N/A
1 2 6,0.160237,4.08333,Yes,N/A,2,1 2,N/A,N/A,6,1 6,2 6,1 2 6,N/A,N/A,N/A
2 6,0.146605,5.83333,Yes,N/A,2,N/A,N/A,N/A,6,N/A,2 6,N/A,N/A,N/A,N/A
1 2 6 8,0.094543,8.36111,Yes,N/A,2,1 2,N/A,N/A,6,1 6,8,1 8,2 8,1 2 8,N/A
2 7 8,0.0625,11.4444,Yes,N/A,2,N/A,N/A,N/A,N/A,7,8,2 7,2 8,N/A,N/A
1 2 6 7,0.105153,8.16667,Yes,N/A,2,1 2,N/A,N/A,6,7,2 6,2 7,1 2 7,N/A,N/A
2 6 8,0.0456533,12.1667,Yes,N/A,2,N/A,N/A,N/A,6,N/A,8,N/A,2 8,N/A,N/A
2 6 7,0.0810185,9.44444,Yes,N/A,2,N/A,N/A,N/A,6,7,2 6,2 7,N/A,N/A,N/A
1 2 6 7 8,0.061058,12.7778,Yes,N/A,2,1 2,N/A,N/A,6,7,8,2 7,2 8,1 2 8,N/A
1 2 5,0.187757,3.58333,Yes,N/A,2,1 2,N/A,5,1 5,2 5,1 2 5,N/A,N/A,N/A,N/A
2 5,0.17284,5.08333,Yes,N/A,2,N/A,N/A,5,N/A,2 5,N/A,N/A,N/A,N/A,N/A
1 2 5 8,0.113469,6.75,Yes,N/A,2,1 2,N/A,5,1 5,2 5,8,1 8,2 8,1 2 8,N/A
1 2 5 7,0.120885,6.19444,Yes,N/A,2,1 2,N/A,5,1 5,7,1 7,2 7,1 2 7,N/A,5 7
2 5 8,0.0673868,10.1667,Yes,N/A,2,N/A,N/A,5,N/A,2 5,8,N/A,2 8,N/A,N/A
2 5 7,0.0570988,10,Yes,N/A,2,N/A,N/A,5,N/A,7,N/A,2 7,N/A,N/A,5 7
1 2 5 7 8,0.0765246,9.80556,Yes,N/A,2,1 2,N/A,5,1 5,7,8,2 7,2 8,1 2 8,5 7
2 6 7 8,0.0362226,14.9444,Yes,N/A,2,N/A,N/A,N/A,6,7,8,2 7,2 8,N/A,N/A
1 2 5 6,0.121378,5.63889,Yes,N/A,2,1 2,N/A,5,6,2 5,2 6,1 2 6,N/A,5 6,1 5 6
2 5 6,0.0828189,7.61111,Yes,N/A,2,N/A,N/A,5,6,2 5,2 6,N/A,N/A,5 6,N/A
1 2 5 6 8,0.0853219,8.72222,Yes,N/A,2,1 2,N/A,5,6,2 5,8,1 8,2 8,5 6,1 5 6
2 5 7 8,0.0381087,14.0833,Yes,N/A,2,N/A,N/A,5,N/A,7,8,2 7,2 8,N/A,5 7
1 2 5 6 7,0.0947955,8.13889,Yes,N/A,2,1 2,N/A,5,6,7,2 6,2 7,1 2 7,5 6,5 7
2 5 6 8,0.0454104,12.8056,Yes,N/A,2,N/A,N/A,5,6,2 5,8,N/A,2 8,5 6,N/A
2 5 6 7,0.0612569,10.9722,Yes,N/A,2,N/A,N/A,5,6,7,2 6,2 7,N/A,5 6,5 7
1 2 5 6 7 8,0.0659213,11.6667,Yes,N/A,2,1 2,N/A,5,6,7,8,1 8,2 8,5 6,5 7
1 2 4,0.206019,3.47222,Yes,N/A,2,1 2,4,1 4,2 4,1 2 4,N/A,N/A,N/A,N/A,N/A
2 4,0.143519,4.66667,Yes,N/A,2,N/A,4,N/A,2 4,N/A,N/A,N/A,N/A,N/A,N/A
1 2 4 8,0.125322,5.25,Yes,N/A,2,1 2,4,1 4,2 4,1 2 4,8,1 8,2 8,1 2 8,4 8
1 2 4 7,0.134002,4.30556,Yes,N/A,2,1 2,4,1 4,2 4,7,1 7,2 7,1 2 7,4 7,1 4 7
2 4 8,0.0559414,9.5,Yes,N/A,2,N/A,4,N/A,2 4,N/A,8,N/A,2 8,N/A,4 8
2 4 7,0.070216,7.88889,Yes,N/A,2,N/A,4,N/A,2 4,7,N/A,2 7,N/A,4 7,N/A
1 2 4 7 8,0.0902349,7.91667,Yes,N/A,2,1 2,4,1 4,2 4,7,8,1 8,2 8,4 7,4 8
1 2 4 6,0.129565,3.61111,Yes,N/A,2,1 2,4,1 4,6,1 6,2 6,1 2 6,4 6,1 4 6,2 4 6
2 4 6,0.0767747,7.66667,Yes,N/A,2,N/A,4,N/A,6,N/A,2 6,N/A,4 6,N/A,2 4 6
1 2 4 6 8,0.0920996,7.25,Yes,N/A,2,1 2,4,1 4,6,1 6,8,1 8,2 8,1 2 8,4 8
2 4 7 8,0.0527263,11.1667,Yes,N/A,2,N/A,4,N/A,2 4,7,8,2 7,2 8,4 7,4 8
1 2 4 6 7,0.11667,5.86111,Yes,N/A,2,1 2,4,1 4,6,7,2 6,2 7,4 6,4 7,2 4 6
2 4 6 8,0.0363083,14.3056,Yes,N/A,2,N/A,4,N/A,6,N/A,8,N/A,2 8,N/A,4 8
2 4 6 7,0.0770319,9.16667,Yes,N/A,2,N/A,4,N/A,6,7,2 6,2 7,4 6,4 7,2 4 6
1 2 4 6 7 8,0.0812083,8.83333,Yes,N/A,2,1 2,4,1 4,6,7,8,2 7,2 8,4 7,4 8
2 5 6 7 8,0.0372919,14.8611,Yes,N/A,2,N/A,N/A,5,6,7,8,2 7,2 8,5 6,5 7
1 2 4 5,0.149949,3,Yes,N/A,2,1 2,4,5,2 4,2 5,1 2 5,4 5,1 4 5,2 4 5,1 2 4 5
2 4 5,0.121914,5.55556,Yes,N/A,2,N/A,4,5,2 4,2 5,N/A,4 5,N/A,2 4 5,N/A
1 2 4 5 8,0.105696,6.38889,Yes,N/A,2,1 2,4,5,2 4,2 5,8,1 8,2 8,2 4 5,4 8
1 2 4 5 7,0.128408,5.13889,Yes,N/A,2,1 2,4,5,2 4,7,1 7,2 7,1 2 7,4 7,5 7
2 4 5 8,0.0762174,8.55556,Yes,N/A,2,N/A,4,5,2 4,2 5,8,4 5,2 8,2 4 5,4 8
2 4 5 7,0.0716307,10.0278,Yes,N/A,2,N/A,4,5,2 4,7,N/A,2 7,N/A,4 7,5 7
1 2 4 5 7 8,0.0904594,7.97222,Yes,N/A,2,1 2,4,5,1 5,7,8,4 5,2 8,4 7,5 7
2 4 6 7 8,0.042374,14.5,Yes,N/A,2,N/A,4,N/A,6,7,8,2 7,4 6,4 7,4 8
1 2 4 5 6,0.142772,4.36111,Yes,N/A,2,1 2,4,5,6,2 5,2 6,4 5,4 6,5 6,2 4 6
2 4 5 6,0.111711,6.55556,Yes,N/A,2,N/A,4,5,6,2 5,2 6,4 5,4 6,5 6,2 4 6
1 2 4 5 6 8,0.101511,6.80556,Yes,N/A,2,1 2,4,5,6,2 5,8,1 8,4 6,5 6,4 8
2 4 5 7 8,0.053305,11.9444,Yes,N/A,2,N/A,4,5,2 4,7,8,4 5,2 8,4 7,4 8
1 2 4 5 6 7,0.116665,5.91667,Yes,N/A,2,1 2,4,5,6,7,2 6,2 7,4 6,5 6,5 7
2 4 5 6 8,0.0577227,11.3056,Yes,N/A,2,N/A,4,5,6,2 5,8,4 5,4 6,5 6,4 8
2 4 5 6 7,0.0728381,9.69444,Yes,N/A,2,N/A,4,5,6,7,2 6,4 5,4 6,4 7,5 7
1 2 4 5 6 7 8,0.0860385,8.05556,Yes,N/A,2,1 2,4,5,6,7,8,1 8,2 8,5 6,4 8
3 4 5 6 7 8,0.0441805,13.3056,Yes,N/A,N/A,3,4,5,6,7,8,4 5,3 7,3 8,4 8
1 2 3,0.165638,3.77778,Yes,N/A,2,3,1 3,2 3,1 2 3,N/A,N/A,N/A,N/A,N/A,N/A
2 3,0.114198,4.13889,Yes,N/A,2,3,N/A,2 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 2 3 8,0.0965364,6.19444,Yes,N/A,2,3,1 3,2 3,1 2 3,N/A,8,1 8,2 8,3 8,1 3 8
1 2 3 7,0.127058,3.80556,Yes,N/A,2,3,1 3,2 3,1 2 3,7,1 7,2 7,3 7,1 3 7,2 3 7
2 3 8,0.0444959,8.91667,Yes,N/A,2,3,N/A,2 3,N/A,N/A,8,N/A,2 8,3 8,N/A
2 3 7,0.0833333,7.05556,Yes,N/A,2,3,N/A,2 3,N/A,7,N/A,2 7,3 7,N/A,2 3 7
1 2 3 7 8,0.0885488,7.77778,Yes,N/A,2,3,1 3,2 3,1 2 3,7,8,1 8,2 8,3 8,2 3 7
1 2 3 6,0.147205,3,Yes,N/A,2,3,1 3,2 3,6,1 6,2 6,3 6,1 3 6,2 3 6,1 2 3 6
2 3 6,0.109311,5.91667,Yes,N/A,2,3,N/A,2 3,6,N/A,2 6,3 6,N/A,2 3 6,N/A
1 2 3 6 8,0.0994442,6.5,Yes,N/A,2,3,1 3,2 3,6,1 6,8,1 8,2 8,3 8,1 3 8
2 3 7 8,0.0558985,11,Yes,N/A,2,3,N/A,2 3,N/A,7,8,2 7,2 8,3 8,2 3 7
1 2 3 6 7,0.126198,5.30556,Yes,N/A,2,3,1 3,2 3,6,7,2 6,2 7,3 7,2 3 6,2 3 7
2 3 6 8,0.0584562,10.8611,Yes,N/A,2,3,N/A,2 3,6,N/A,8,3 6,2 8,3 8,N/A
2 3 6 7,0.0948645,7.66667,Yes,N/A,2,3,N/A,2 3,6,7,2 6,2 7,3 7,2 3 6,2 3 7
1 2 3 6 7 8,0.0865435,8.52778,Yes,N/A,2,3,1 3,2 3,6,7,8,1 8,2 8,3 8,2 3 7
1 2 3 5,0.160151,2.77778,Yes,N/A,2,3,1 3,5,1 5,2 5,3 5,1 3 5,2 3 5,1 2 3 5,N/A
2 3 5,0.122942,5.52778,Yes,N/A,2,3,N/A,5,N/A,2 5,3 5,N/A,2 3 5,N/A,N/A
1 2 3 5 8,0.108802,5.83333,Yes,N/A,2,3,1 3,5,1 5,2 5,8,1 8,2 8,3 8,1 3 8
1 2 3 5 7,0.134219,4.69444,Yes,N/A,2,3,1 3,5,1 5,7,3 5,2 7,3 7,1 3 7,5 7
2 3 5 8,0.060821,11.0833,Yes,N/A,2,3,N/A,5,N/A,2 5,8,N/A,2 8,3 8,N/A
2 3 5 7,0.0860768,9.16667,Yes,N/A,2,3,N/A,5,N/A,7,3 5,2 7,3 7,N/A,5 7
1 2 3 5 7 8,0.0935097,7.52778,Yes,N/A,2,3,1 3,5,1 5,7,8,1 8,2 8,3 8,5 7
2 3 6 7 8,0.0540433,12.1389,Yes,N/A,2,3,N/A,2 3,6,7,8,3 6,2 8,3 8,2 3 7
1 2 3 5 6,0.153116,3.77778,Yes,N/A,2,3,1 3,5,6,2 5,2 6,3 6,2 3 5,5 6,1 5 6
2 3 5 6,0.115112,6.66667,Yes,N/A,2,3,N/A,5,6,2 5,2 6,3 6,2 3 5,5 6,N/A
