Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1 2 7 8 9 11 12 13,0.0165692,32.4079,Yes,N/A,2,1 2,N/A,N/A,N/A,7,8,9,2 8,11,12,13,2 12,2 13,7 9,8 9,7 11
1 7 8 9 10,0.0217547,24.6307,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,1 10,N/A,N/A,N/A,7 8,7 9,7 10,8 10
1 7 8 9 10 13,0.0121677,31.2785,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,1 10,N/A,13,1 13,7 8,7 9,7 10,8 10
1 7 8 9 10 12,0.015123,28.987,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,1 10,12,1 12,N/A,7 8,7 9,7 10,8 10
1 7 8 9 10 12 13,0.00859846,36.0211,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,1 10,12,13,1 13,7 8,7 9,7 10,8 10
1 2 7 8 9 10,0.041398,19.7109,Yes,N/A,2,1 2,N/A,N/A,N/A,7,8,9,10,2 9,2 10,1 2 10,N/A,7 8,7 9,7 10,8 10
2 7 8 9 10,0.0227405,23.3248,Yes,N/A,2,N/A,N/A,N/A,N/A,7,8,9,10,2 9,2 10,N/A,N/A,7 8,7 9,7 10,8 10
1 2 7 8 9 10 13,0.0250241,25.3216,Yes,N/A,2,1 2,N/A,N/A,N/A,7,8,9,10,2 9,2 10,13,1 13,2 13,7 9,7 10,8 10
1 2 7 8 9 10 12,0.0306083,23.8166,Yes,N/A,2,1 2,N/A,N/A,N/A,7,8,9,10,2 9,12,1 12,2 12,7 8,7 9,7 10,8 10
1 2 7 8 9 10 12 13,0.0177556,31.3744,Yes,N/A,2,1 2,N/A,N/A,N/A,7,8,9,10,2 9,12,13,2 12,2 13,7 9,7 10,8 10
1 7 8 9 10 11,0.0145263,30.5161,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,11,1 11,N/A,N/A,7 8,7 9,7 10,7 11
1 7 8 9 10 11 13,0.0095645,34.6796,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,11,1 11,13,1 13,7 8,7 9,7 10,7 11
1 2 7 8 9 10 11,0.0309525,23.9405,Yes,N/A,2,1 2,N/A,N/A,N/A,7,8,9,10,11,2 10,2 11,1 2 11,7 8,7 9,7 10,7 11
2 7 8 9 10 11,0.014668,28.8417,Yes,N/A,2,N/A,N/A,N/A,N/A,7,8,9,10,11,2 10,2 11,N/A,7 8,7 9,7 10,7 11
1 2 7 8 9 10 11 13,0.0195125,30.2519,Yes,N/A,2,1 2,N/A,N/A,N/A,7,8,9,10,11,2 10,13,1 13,2 13,7 9,7 10,7 11
1 7 8 9 10 11 12,0.0102884,35.8466,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,11,12,1 12,N/A,7 8,7 9,7 10,7 11
1 2 7 8 9 10 11 12,0.0227848,29.5759,Yes,N/A,2,1 2,N/A,N/A,N/A,7,8,9,10,11,12,2 11,2 12,7 8,7 9,7 10,7 11
1 2 7 8 9 10 11 12 13,0.0147277,36.6742,Yes,N/A,N/A,1 2,N/A,N/A,N/A,7,8,9,10,11,12,13,2 12,2 13,7 9,7 10,7 11
1 8 9 10 11 12 13,0.00576264,43.9069,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12,13,1 13,N/A,N/A,8 9,8 10
1 6,0.0771605,6.2284,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 6 13,0.0214335,16.7136,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,N/A,N/A,13,1 13,N/A,N/A,N/A,N/A
1 6 12,0.0276349,15.1628,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,N/A,12,1 12,N/A,N/A,N/A,N/A,6 12
1 6 12 13,0.00954802,26.2356,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,N/A,12,13,1 13,N/A,N/A,N/A,6 12
1 6 11,0.0369513,13.7975,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,11,1 11,N/A,N/A,N/A,N/A,6 11,1 6 11
1 6 11 13,0.0144426,23.2621,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,11,1 11,13,1 13,N/A,N/A,6 11,1 6 11
1 6 11 12,0.0164353,23.2415,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,11,12,1 12,N/A,N/A,N/A,6 11,6 12
