Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
9 13,0.0225051,19.2685,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
9 12,0.0267918,18.1065,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
1 9 12 13,0.0186054,26.4213,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,12,13,1 13,N/A,N/A,N/A,N/A
1 9 11,0.0628644,14.7407,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,1 11,N/A,N/A,N/A,N/A,N/A,N/A
9 11,0.0289352,17.1019,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 9 11 13,0.0243636,23.412,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,1 11,13,1 13,N/A,N/A,N/A,N/A
9 12 13,0.00781429,29.2037,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,12,13,N/A,N/A,N/A,N/A,N/A
1 9 11 12,0.025616,23.625,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,12,1 12,N/A,N/A,N/A,N/A,N/A
9 11 13,0.00843943,28.1898,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,N/A,13,N/A,N/A,N/A,N/A,N/A
9 11 12,0.0100469,27.0093,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,12,N/A,N/A,N/A,N/A,N/A,N/A
1 9 11 12 13,0.0111116,33.3148,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,12,13,1 13,N/A,N/A,N/A,N/A
10 11 12 13,0.00421971,37.9444,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12,13,N/A,N/A,N/A,N/A,N/A
1 9 10,0.0493827,15.3611,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9 10,0.0289352,16.2269,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 9 10 13,0.0204315,24.5833,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,N/A,13,1 13,N/A,N/A,N/A,N/A
1 9 10 12,0.0255862,22.75,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,12,1 12,N/A,N/A,N/A,N/A,N/A
9 10 13,0.00843943,27.4306,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
9 10 12,0.0100469,26.1343,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
1 9 10 12 13,0.0111,32.4398,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,12,13,1 13,N/A,N/A,N/A,N/A
9 11 12 13,0.00390714,37.5463,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,12,13,N/A,N/A,N/A,N/A,N/A
1 9 10 11,0.0231401,23.5185,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,1 11,N/A,N/A,N/A,N/A,N/A,N/A
9 10 11,0.0108507,25.1204,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 9 10 11 13,0.012013,31.463,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,1 11,13,1 13,N/A,N/A,N/A,N/A
9 10 12 13,0.00390714,36.6713,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,12,13,N/A,N/A,N/A,N/A,N/A
1 9 10 11 12,0.012607,31.8426,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,12,1 12,N/A,N/A,N/A,N/A,N/A
9 10 11 13,0.00421971,35.6389,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,N/A,13,N/A,N/A,N/A,N/A,N/A
9 10 11 12,0.00502347,34.4213,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,12,N/A,N/A,N/A,N/A,N/A,N/A
1 9 10 11 12 13,0.00684706,40.9583,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,12,13,1 13,N/A,N/A,N/A,N/A
1 8,0.131944,7.08333,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,0.0972222,7.22222,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 8 13,0.039159,17.1574,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,N/A,13,1 13,N/A,N/A,N/A,N/A
1 8 12,0.049447,15.6759,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,12,1 12,N/A,N/A,N/A,N/A,N/A
8 13,0.0189043,18.6667,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
8 12,0.0225051,17.5231,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
1 8 12 13,0.0163537,26.2361,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,12,13,1 13,N/A,N/A,N/A,N/A
1 8 11,0.0554913,14.5278,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,11,1 11,N/A,N/A,N/A,N/A,N/A,N/A
8 11,0.0243056,16.5278,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 8 11 13,0.0212486,23.2731,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,11,1 11,13,1 13,N/A,N/A,N/A,N/A
8 12 13,0.006564,28.5417,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,12,13,N/A,N/A,N/A,N/A,N/A
1 8 11 12,0.0224498,23.4676,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,11,12,1 12,N/A,N/A,N/A,N/A,N/A
8 11 13,0.00708912,27.5278,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,N/A,13,N/A,N/A,N/A,N/A,N/A
8 11 12,0.00843943,26.3472,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,12,N/A,N/A,N/A,N/A,N/A,N/A
1 8 11 12 13,0.00969631,33.3287,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,11,12,13,1 13,N/A,N/A,N/A,N/A
1 8 10,0.0580633,13.5694,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,N/A,N/A,N/A,N/A,N/A,N/A,8 10
8 10,0.0289352,15.5694,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8 10
1 8 10 13,0.0225668,22.5,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,N/A,13,1 13,N/A,N/A,N/A,8 10
1 8 10 12,0.0280609,20.5509,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,12,1 12,N/A,N/A,N/A,N/A,8 10
8 10 13,0.00798933,26.6574,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,N/A,13,N/A,N/A,N/A,N/A,8 10
8 10 12,0.0095111,25.3796,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,12,N/A,N/A,N/A,N/A,N/A,8 10
1 8 10 12 13,0.0118655,29.9583,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,12,13,1 13,N/A,N/A,N/A,8 10
8 11 12 13,0.003282,36.9213,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,12,13,N/A,N/A,N/A,N/A,N/A
1 8 10 11,0.0266311,21.2731,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,1 11,N/A,N/A,N/A,N/A,N/A,8 10
8 10 11,0.010272,24.3657,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,N/A,N/A,N/A,N/A,N/A,N/A,8 10
1 8 10 11 13,0.0130065,28.9444,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,1 11,13,1 13,N/A,N/A,N/A,8 10
8 10 12 13,0.00359457,35.9444,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,12,13,N/A,N/A,N/A,N/A,8 10
1 8 10 11 12,0.0139254,29.2963,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,12,1 12,N/A,N/A,N/A,N/A,8 10
8 10 11 13,0.00388214,34.912,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,N/A,13,N/A,N/A,N/A,N/A,8 10
8 10 11 12,0.00462159,33.6944,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,12,N/A,N/A,N/A,N/A,N/A,8 10
1 8 10 11 12 13,0.0073615,37.7685,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,12,13,1 13,N/A,N/A,N/A,8 10
9 10 11 12 13,0.00244196,43.9352,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,12,13,N/A,N/A,N/A,N/A,N/A
1 8 9,0.0483968,13.9491,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,N/A,N/A,N/A,N/A,N/A,8 9,1 8 9
