Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
|   |   |   |   |   | 6 |   |   | 9 |   |,0.0308642,12.9352,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,N/A,N/A,N/A
| 1 |   |   |   |   | 6 |   |   | 9 | 10 |,0.0185828,19.891,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,1 10,N/A
|   |   |   |   |   | 6 |   |   |   | 10 |,0.0231481,14.1481,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,10,N/A,N/A
| 1 |   |   |   |   | 6 |   | 8 |   |   |,0.0835905,10.0337,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,N/A,N/A
|   |   |   |   |   | 6 |   | 8 |   |   |,0.0385802,11.7855,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,N/A,N/A
| 1 |   |   |   |   | 6 |   | 8 |   | 10 |,0.0273277,17.2192,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,1 10,N/A
| 1 |   |   |   |   | 6 |   | 8 | 9 |   |,0.0323645,16.801,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,N/A,N/A
|   |   |   |   |   | 6 |   | 8 | 9 |   |,0.0128601,19.1931,N/A,N/A,N/A,N/A,N/A,6,N/A,8,9,N/A,N/A,N/A
| 1 |   |   |   |   | 6 |   | 8 | 9 | 10 |,0.0120385,24.6395,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,10,1 10,N/A
|   |   |   |   |   | 6 |   |   | 9 | 10 |,0.00771605,21.6764,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,10,N/A,N/A
| 1 |   |   |   |   | 6 | 7 |   |   |   |,0.0740741,10.1157,N/A,N/A,N/A,N/A,N/A,6,7,1 7,N/A,N/A,N/A,N/A
|   |   |   |   |   | 6 | 7 |   |   |   |,0.0462963,10.6991,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,N/A,N/A,N/A
| 1 |   |   |   |   | 6 | 7 |   |   | 10 |,0.0262346,17.4664,N/A,N/A,N/A,N/A,N/A,6,7,1 7,N/A,10,1 10,N/A
| 1 |   |   |   |   | 6 | 7 |   | 9 |   |,0.0362654,15.7046,N/A,N/A,N/A,N/A,N/A,6,7,1 7,9,1 9,N/A,N/A
|   |   |   |   |   | 6 | 7 |   | 9 |   |,0.0154321,18.0581,N/A,N/A,N/A,N/A,N/A,6,7,N/A,9,N/A,N/A,N/A
| 1 |   |   |   |   | 6 | 7 |   | 9 | 10 |,0.0135888,23.5092,N/A,N/A,N/A,N/A,N/A,6,7,1 7,9,10,1 10,N/A
|   |   |   |   |   | 6 | 7 |   |   | 10 |,0.0115741,19.3557,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,10,N/A,N/A
| 1 |   |   |   |   | 6 | 7 | 8 |   |   |,0.0382587,15.6989,N/A,N/A,N/A,N/A,N/A,6,7,8,1 8,N/A,N/A,N/A
|   |   |   |   |   | 6 | 7 | 8 |   |   |,0.0192901,16.8356,N/A,N/A,N/A,N/A,N/A,6,7,8,N/A,N/A,N/A,N/A
| 1 |   |   |   |   | 6 | 7 | 8 |   | 10 |,0.0170396,22.1426,N/A,N/A,N/A,N/A,N/A,6,7,8,1 8,10,1 10,N/A
| 1 |   |   |   |   | 6 | 7 | 8 | 9 |   |,0.0200046,21.9544,N/A,N/A,N/A,N/A,N/A,6,7,8,9,1 9,N/A,N/A
|   |   |   |   |   | 6 | 7 | 8 | 9 |   |,0.00857339,23.646,N/A,N/A,N/A,N/A,N/A,6,7,8,9,N/A,N/A,N/A
| 1 |   |   |   |   | 6 | 7 | 8 | 9 | 10 |,0.00937714,29.2638,N/A,N/A,N/A,N/A,N/A,6,7,8,9,10,1 10,N/A
|   |   |   |   |   |   | 7 |   | 9 | 10 |,0.00925926,22.2114,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,N/A,N/A
|   |   |   |   |   |   | 7 | 8 |   | 10 |,0.0115741,21.0008,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,10,N/A,N/A
