Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
,1.0,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,0.166667,0.833333,Yes,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 12,0.00462963,12.6389,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
1 11,0.037037,11,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,1 11
12,0.0277778,11.6667,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
1 11 12,0.00128601,22.9722,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12
1 10,0.0694444,9.47222,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,N/A
1 10 12,0.00385802,21.0278,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,1 10,12
11,0.0555556,10.3889,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A
11 12,0.00308642,21.9722,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12
10,0.0833333,9.16667,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A
1 10 11,0.00925926,20,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,1 11
10 12,0.00462963,20.7222,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,12
1 10 11 12,0.000578704,31.8889,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12
1 9,0.101852,8.05556,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,N/A
1 9 12,0.00565844,19.5833,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,N/A,12
9,0.111111,8,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A
1 9 11,0.0174897,17.8889,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,1 11
9 12,0.00617284,19.5278,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,12
1 9 11 12,0.00120027,29.5556,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1 9,11,12
10 11,0.00925926,19.4167,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,N/A
10 11 12,0.000771605,30.8889,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12
1 9 10,0.0223765,17.1111,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,N/A
1 9 10 12,0.00186471,28.5556,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,1 10,12
9 11,0.0123457,18.2222,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,N/A
9 11 12,0.00102881,29.6667,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,12
9 10,0.0185185,16.9722,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,N/A
1 9 10 11,0.00424383,27.4167,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,1 11
9 10 12,0.00154321,28.3611,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,12
1 9 10 11 12,0.000385802,39.2222,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,12
1 8,0.134259,6.75,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,N/A
1 8 12,0.00745885,18.2222,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,12
8,0.138889,6.88889,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
1 8 11,0.0226337,16.4722,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,11,1 11
8 12,0.00771605,18.3611,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,12
1 8 11 12,0.00156464,28.1667,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,11,12
1 8 10,0.0378086,14.6944,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,N/A
1 8 10 12,0.00315072,26.1111,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,12
8 11,0.0154321,17.0278,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,N/A
8 11 12,0.00128601,28.5,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,12
8 10,0.0231481,15.75,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,N/A
1 8 10 11,0.00694444,24.9167,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,1 11
8 10 12,0.00192901,27.1944,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,12
1 8 10 11 12,0.000664438,36.5833,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,12
9 10 11,0.00308642,27,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,N/A
9 10 11 12,0.000342936,38.3889,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,12
1 8 9,0.0406379,14.2778,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,N/A
1 8 9 12,0.00338649,25.6944,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,12
8 9,0.0308642,14.5278,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A
1 8 9 11,0.00934499,23.6389,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,1 11
8 9 12,0.00257202,25.9722,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,12
1 8 9 11 12,0.000895443,35.4167,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,12
8 10 11,0.00385802,25.8333,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,N/A
8 10 11 12,0.000428669,37.1667,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,12
1 8 9 10,0.01241,22.9722,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,N/A
1 8 9 10 12,0.00137889,34.1944,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,12
8 9 11,0.00514403,24.6111,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,N/A
8 9 11 12,0.000571559,35.8611,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,12
