Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
|   |   | 3 |   |   | 6 | 7 | 8 |   |,0.0370799,14.75,N/A,N/A,3,N/A,N/A,6,7,8,3 6,3 7,3 8,N/A
| 1 |   | 3 |   |   | 6 | 7 | 8 | 9 |,0.0322089,17.9444,N/A,N/A,3,1 3,N/A,6,7,8,9,1 9,3 8,3 9
| 1 |   | 3 |   | 5 |   |   |   |   |,0.170267,4.41667,N/A,N/A,3,1 3,5,1 5,N/A,3 5,1 3 5,N/A,N/A,N/A
|   |   | 3 |   | 5 |   |   |   |   |,0.151235,6,N/A,N/A,3,N/A,5,N/A,N/A,3 5,N/A,N/A,N/A,N/A
| 1 |   | 3 |   | 5 |   |   |   | 9 |,0.0644719,10.6667,N/A,N/A,3,1 3,5,1 5,N/A,3 5,9,1 9,N/A,3 9
| 1 |   | 3 |   | 5 |   |   | 8 |   |,0.0768604,9.5,N/A,N/A,3,1 3,5,1 5,N/A,8,1 8,N/A,3 8,1 3 8
|   |   | 3 |   | 5 |   |   |   | 9 |,0.0411523,13.1111,N/A,N/A,3,N/A,5,N/A,N/A,3 5,9,N/A,N/A,3 9
|   |   | 3 |   | 5 |   |   | 8 |   |,0.0367798,12.7222,N/A,N/A,3,N/A,5,N/A,N/A,8,N/A,N/A,3 8,N/A
| 1 |   | 3 |   | 5 |   |   | 8 | 9 |,0.0349532,15.3333,N/A,N/A,3,1 3,5,1 5,N/A,8,9,1 9,3 8,3 9
| 1 |   | 3 |   | 5 |   | 7 |   |   |,0.129201,5.77778,N/A,N/A,3,1 3,5,1 5,7,3 5,1 3 5,3 7,1 3 7,5 7
|   |   | 3 |   | 5 |   | 7 |   |   |,0.0740741,9.61111,N/A,N/A,3,N/A,5,N/A,7,3 5,N/A,3 7,N/A,5 7
| 1 |   | 3 |   | 5 |   | 7 |   | 9 |,0.0582943,11.2778,N/A,N/A,3,1 3,5,1 5,7,3 5,9,1 9,1 3 7,3 9
|   |   | 3 |   | 5 |   |   | 8 | 9 |,0.0154035,19.25,N/A,N/A,3,N/A,5,N/A,N/A,8,9,N/A,3 8,3 9
| 1 |   | 3 |   | 5 |   | 7 | 8 |   |,0.0711639,9.88889,N/A,N/A,3,1 3,5,1 5,7,8,1 8,3 7,3 8,5 7
|   |   | 3 |   | 5 |   | 7 |   | 9 |,0.0288923,16,N/A,N/A,3,N/A,5,N/A,7,3 5,9,3 7,N/A,3 9
|   |   | 3 |   | 5 |   | 7 | 8 |   |,0.0313357,15.2778,N/A,N/A,3,N/A,5,N/A,7,8,N/A,3 7,3 8,5 7
