Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 4 6 7,0.090535,8.91667,Yes,N/A,N/A,N/A,4,1 4,6,7,1 7,N/A,4 6,4 7,1 4 7
4 6 7,0.054784,11.8333,Yes,N/A,N/A,N/A,4,N/A,6,7,N/A,N/A,4 6,4 7,N/A
1 4 6 7 9,0.0417953,13.8889,Yes,N/A,N/A,N/A,4,1 4,6,7,1 7,9,1 9,4 7,1 4 7
4 6 8 9,0.0145748,20.1389,Yes,N/A,N/A,N/A,4,N/A,6,N/A,8,9,4 6,N/A,4 8
1 4 6 7 8,0.0574417,12.1944,Yes,N/A,N/A,N/A,4,1 4,6,7,8,1 8,4 6,4 7,4 8
4 6 7 9,0.0195473,18.3611,Yes,N/A,N/A,N/A,4,N/A,6,7,N/A,9,4 6,4 7,N/A
4 6 7 8,0.0282922,16.5,Yes,N/A,N/A,N/A,4,N/A,6,7,8,N/A,4 6,4 7,4 8
1 4 6 7 8 9,0.0292996,17.8611,Yes,N/A,N/A,N/A,4,1 4,6,7,8,9,1 9,4 7,4 8
5 6 7 8 9,0.00962125,24.0556,Yes,N/A,N/A,N/A,N/A,5,6,7,8,9,N/A,5 6,5 7
1 4 5,0.140432,5.91667,Yes,N/A,N/A,N/A,4,5,1 5,N/A,N/A,4 5,1 4 5,N/A,N/A
4 5,0.12963,6.91667,Yes,N/A,N/A,N/A,4,5,N/A,N/A,N/A,4 5,N/A,N/A,N/A
1 4 5 9,0.0380658,13.5833,Yes,N/A,N/A,N/A,4,5,1 5,N/A,N/A,9,1 9,N/A,N/A
1 4 5 8,0.0690586,10.3611,Yes,N/A,N/A,N/A,4,5,1 5,N/A,8,1 8,1 4 5,N/A,4 8
4 5 9,0.0185185,15.3889,Yes,N/A,N/A,N/A,4,5,N/A,N/A,N/A,9,N/A,N/A,N/A
4 5 8,0.0447531,12.4167,Yes,N/A,N/A,N/A,4,5,N/A,N/A,8,4 5,N/A,N/A,4 8
1 4 5 8 9,0.0252058,17.8333,Yes,N/A,N/A,N/A,4,5,1 5,N/A,8,9,1 9,N/A,4 8
1 4 5 7,0.116255,6.86111,Yes,N/A,N/A,N/A,4,5,1 5,7,1 7,4 5,1 4 5,4 7,5 7
4 5 7,0.0632716,10.6111,Yes,N/A,N/A,N/A,4,5,N/A,7,N/A,4 5,N/A,4 7,5 7
1 4 5 7 9,0.0429098,13.3056,Yes,N/A,N/A,N/A,4,5,1 5,7,1 7,9,1 9,4 7,5 7
4 5 8 9,0.010631,20.8611,Yes,N/A,N/A,N/A,4,5,N/A,N/A,8,9,N/A,N/A,4 8
1 4 5 7 8,0.0600137,11.6667,Yes,N/A,N/A,N/A,4,5,1 5,7,8,1 8,1 4 5,4 7,4 8
4 5 7 9,0.0159465,18.6944,Yes,N/A,N/A,N/A,4,5,N/A,7,N/A,9,N/A,4 7,5 7
4 5 7 8,0.0308642,15.6667,Yes,N/A,N/A,N/A,4,5,N/A,7,8,4 5,N/A,4 7,4 8
1 4 5 7 8 9,0.0290042,17.3611,Yes,N/A,N/A,N/A,4,5,1 5,7,8,9,1 9,4 7,4 8
4 6 7 8 9,0.0132888,21.9722,Yes,N/A,N/A,N/A,4,N/A,6,7,8,9,4 6,4 7,4 8
1 4 5 6,0.107446,7.47222,Yes,N/A,N/A,N/A,4,5,6,1 6,N/A,4 5,4 6,5 6,1 5 6
4 5 6,0.066358,9.58333,Yes,N/A,N/A,N/A,4,5,6,N/A,N/A,4 5,4 6,5 6,N/A
1 4 5 6 9,0.0377515,14.6667,Yes,N/A,N/A,N/A,4,5,6,1 6,N/A,9,1 9,5 6,1 5 6
1 4 5 6 8,0.0650006,10.5556,Yes,N/A,N/A,N/A,4,5,6,1 6,8,1 8,4 6,5 6,4 8
4 5 6 9,0.0178326,17.6944,Yes,N/A,N/A,N/A,4,5,6,N/A,N/A,9,4 6,5 6,N/A
4 5 6 8,0.0343793,14.0556,Yes,N/A,N/A,N/A,4,5,6,N/A,8,4 5,4 6,5 6,4 8
1 4 5 6 8 9,0.0292297,16.9444,Yes,N/A,N/A,N/A,4,5,6,1 6,8,9,1 9,5 6,4 8
4 5 7 8 9,0.0107739,23.0833,Yes,N/A,N/A,N/A,4,5,N/A,7,8,9,N/A,4 7,4 8
1 4 5 6 7,0.0833119,9.08333,Yes,N/A,N/A,N/A,4,5,6,7,1 7,4 5,4 6,4 7,5 7
4 5 6 7,0.0477109,12.5833,Yes,N/A,N/A,N/A,4,5,6,7,N/A,4 5,4 6,4 7,5 7
1 4 5 6 7 9,0.0395352,14.8611,Yes,N/A,N/A,N/A,4,5,6,7,1 7,9,1 9,5 6,5 7
4 5 6 8 9,0.0125553,21.5556,Yes,N/A,N/A,N/A,4,5,6,N/A,8,9,4 6,5 6,4 8
1 4 5 6 7 8,0.0552978,12.7778,Yes,N/A,N/A,N/A,4,5,6,7,8,1 8,4 6,4 7,5 7
4 5 6 7 9,0.0174326,19.7222,Yes,N/A,N/A,N/A,4,5,6,7,N/A,9,4 6,5 6,5 7
4 5 6 7 8,0.0282136,16.0278,Yes,N/A,N/A,N/A,4,5,6,7,8,4 5,4 6,4 7,4 8
1 4 5 6 7 8 9,0.0306459,17.8889,Yes,N/A,N/A,N/A,4,5,6,7,8,9,1 9,4 7,4 8
1 3,0.0925926,3.44444,Yes,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,0.0555556,2.83333,Yes,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 3 9,0.034465,9.91667,Yes,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,9,1 9,N/A,3 9
1 3 8,0.0751029,7.80556,Yes,N/A,N/A,3,1 3,N/A,N/A,N/A,8,1 8,N/A,3 8,1 3 8
3 9,0.0401235,10.3333,Yes,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,3 9
3 8,0.0709877,8.86111,Yes,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,N/A,3 8,N/A
1 3 8 9,0.0332647,14.5833,Yes,N/A,N/A,3,1 3,N/A,N/A,N/A,8,9,1 9,3 8,3 9
1 3 7,0.115741,6.05556,Yes,N/A,N/A,3,1 3,N/A,N/A,7,1 7,N/A,3 7,1 3 7,N/A
3 7,0.101852,7.55556,Yes,N/A,N/A,3,N/A,N/A,N/A,7,N/A,N/A,3 7,N/A,N/A
1 3 7 9,0.0501543,11.9722,Yes,N/A,N/A,3,1 3,N/A,N/A,7,1 7,9,1 9,1 3 7,3 9
3 8 9,0.0252058,15.8889,Yes,N/A,N/A,3,N/A,N/A,N/A,N/A,8,9,N/A,3 8,3 9
1 3 7 8,0.0724023,10.5833,Yes,N/A,N/A,3,1 3,N/A,N/A,7,8,1 8,3 7,3 8,1 3 8
3 7 9,0.0339506,14.5278,Yes,N/A,N/A,3,N/A,N/A,N/A,7,N/A,9,3 7,N/A,3 9
3 7 8,0.0493827,12.75,Yes,N/A,N/A,3,N/A,N/A,N/A,7,8,N/A,3 7,3 8,N/A
1 3 7 8 9,0.0328218,17.25,Yes,N/A,N/A,3,1 3,N/A,N/A,7,8,9,1 9,3 8,3 9
1 3 6,0.146091,5,Yes,N/A,N/A,3,1 3,N/A,6,1 6,N/A,3 6,1 3 6,N/A,N/A
3 6,0.126543,6.80556,Yes,N/A,N/A,3,N/A,N/A,6,N/A,N/A,3 6,N/A,N/A,N/A
1 3 6 9,0.0497257,11.9167,Yes,N/A,N/A,3,1 3,N/A,6,1 6,N/A,9,1 9,N/A,3 9
1 3 6 8,0.0904492,8.30556,Yes,N/A,N/A,3,1 3,N/A,6,1 6,8,1 8,1 3 6,3 8,1 3 8
3 6 9,0.0252058,14.8611,Yes,N/A,N/A,3,N/A,N/A,6,N/A,N/A,9,N/A,N/A,3 9
3 6 8,0.0527263,12,Yes,N/A,N/A,3,N/A,N/A,6,N/A,8,3 6,N/A,3 8,N/A
1 3 6 8 9,0.0389922,14.8611,Yes,N/A,N/A,3,1 3,N/A,6,1 6,8,9,1 9,3 8,3 9
3 7 8 9,0.0211763,18.8056,Yes,N/A,N/A,3,N/A,N/A,N/A,7,8,9,3 7,3 8,3 9
